GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,LGI001,LGI002,LGI003,LGI004,LGI005,LGI006
"G0100430","2010","3","6","Alabama","01","Cullman County","043",,,,,,,,,,,"18980","99999","142",,,,,,,,,,,,"Cullman County",80406,0,0,0,0,80406
"G0100450","2010","3","6","Alabama","01","Dale County","045",,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,"Dale County",50251,0,0,0,0,50251
"G0100470","2010","3","6","Alabama","01","Dallas County","047",,,,,,,,,,,"42820","99999","999",,,,,,,,,,,,"Dallas County",43820,0,0,0,0,43820
"G0100490","2010","3","6","Alabama","01","DeKalb County","049",,,,,,,,,,,"22840","99999","999",,,,,,,,,,,,"DeKalb County",71109,0,0,0,0,71109
"G0100510","2010","3","6","Alabama","01","Elmore County","051",,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,"Elmore County",79303,0,0,0,0,79303
"G0100530","2010","3","6","Alabama","01","Escambia County","053",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Escambia County",38319,0,0,0,0,38319
"G0100550","2010","3","6","Alabama","01","Etowah County","055",,,,,,,,,,,"23460","99999","999",,,,,,,,,,,,"Etowah County",104430,0,0,0,0,104430
"G0100570","2010","3","6","Alabama","01","Fayette County","057",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Fayette County",17241,0,0,0,0,17241
"G0100590","2010","3","6","Alabama","01","Franklin County","059",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Franklin County",31704,0,0,0,0,31704
"G0100610","2010","3","6","Alabama","01","Geneva County","061",,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,"Geneva County",26790,0,0,0,0,26790
"G0100630","2010","3","6","Alabama","01","Greene County","063",,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,"Greene County",9045,0,0,0,0,9045
"G0100650","2010","3","6","Alabama","01","Hale County","065",,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,"Hale County",15760,0,0,0,0,15760
"G0100670","2010","3","6","Alabama","01","Henry County","067",,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,"Henry County",17302,0,0,0,0,17302
"G0100690","2010","3","6","Alabama","01","Houston County","069",,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,"Houston County",101547,0,0,0,0,101547
"G0100710","2010","3","6","Alabama","01","Jackson County","071",,,,,,,,,,,"42460","99999","999",,,,,,,,,,,,"Jackson County",53227,0,0,0,0,53227
"G0100730","2010","3","6","Alabama","01","Jefferson County","073",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Jefferson County",658466,0,0,0,0,658466
"G0100750","2010","3","6","Alabama","01","Lamar County","075",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Lamar County",14564,0,0,0,0,14564
"G0100770","2010","3","6","Alabama","01","Lauderdale County","077",,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,"Lauderdale County",92709,0,0,0,0,92709
"G0100790","2010","3","6","Alabama","01","Lawrence County","079",,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,"Lawrence County",34339,0,0,0,0,34339
"G0100810","2010","3","6","Alabama","01","Lee County","081",,,,,,,,,,,"12220","99999","194",,,,,,,,,,,,"Lee County",140247,0,0,0,0,140247
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,"Limestone County",82782,0,0,0,0,82782
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,"Lowndes County",11299,0,0,0,0,11299
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,"46260","99999","194",,,,,,,,,,,,"Macon County",21452,0,0,0,0,21452
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,"Madison County",334811,0,0,0,0,334811
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Marengo County",21027,0,0,0,0,21027
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Marion County",30776,0,0,0,0,30776
"G0100950","2010","3","6","Alabama","01","Marshall County","095",,,,,,,,,,,"10700","99999","999",,,,,,,,,,,,"Marshall County",93019,0,0,0,0,93019
"G0100970","2010","3","6","Alabama","01","Mobile County","097",,,,,,,,,,,"33660","99999","380",,,,,,,,,,,,"Mobile County",412992,0,0,0,0,412992
"G0100990","2010","3","6","Alabama","01","Monroe County","099",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Monroe County",23068,0,0,0,0,23068
"G0101010","2010","3","6","Alabama","01","Montgomery County","101",,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,"Montgomery County",229363,0,0,0,0,229363
"G0101030","2010","3","6","Alabama","01","Morgan County","103",,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,"Morgan County",119490,0,0,0,0,119490
"G0101050","2010","3","6","Alabama","01","Perry County","105",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Perry County",10591,0,0,0,0,10591
"G0101070","2010","3","6","Alabama","01","Pickens County","107",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Pickens County",19746,0,0,0,0,19746
"G0101090","2010","3","6","Alabama","01","Pike County","109",,,,,,,,,,,"45980","99999","999",,,,,,,,,,,,"Pike County",32899,0,0,0,0,32899
"G0101110","2010","3","6","Alabama","01","Randolph County","111",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Randolph County",22913,0,0,0,0,22913
"G0101130","2010","3","6","Alabama","01","Russell County","113",,,,,,,,,,,"17980","99999","194",,,,,,,,,,,,"Russell County",52947,0,0,0,0,52947
"G0101150","2010","3","6","Alabama","01","St. Clair County","115",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"St. Clair County",83593,0,0,0,0,83593
"G0101170","2010","3","6","Alabama","01","Shelby County","117",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Shelby County",195085,0,0,0,0,195085
"G0101190","2010","3","6","Alabama","01","Sumter County","119",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Sumter County",13763,0,0,0,0,13763
"G0101210","2010","3","6","Alabama","01","Talladega County","121",,,,,,,,,,,"45180","99999","999",,,,,,,,,,,,"Talladega County",82291,0,0,0,0,82291
"G0101230","2010","3","6","Alabama","01","Tallapoosa County","123",,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,"Tallapoosa County",41616,0,0,0,0,41616
"G0101250","2010","3","6","Alabama","01","Tuscaloosa County","125",,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,"Tuscaloosa County",194656,0,0,0,0,194656
"G0101270","2010","3","6","Alabama","01","Walker County","127",,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,"Walker County",67023,0,0,0,0,67023
"G0101290","2010","3","6","Alabama","01","Washington County","129",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Washington County",17581,0,0,0,0,17581
"G0101310","2010","3","6","Alabama","01","Wilcox County","131",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Wilcox County",11670,0,0,0,0,11670
"G0101330","2010","3","6","Alabama","01","Winston County","133",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Winston County",24484,0,0,0,0,24484
"G0200130","2010","4","9","Alaska","02","Aleutians East Borough","013",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Aleutians East Borough",3141,0,0,0,0,3141
"G0200160","2010","4","9","Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Aleutians West Census Area",5561,0,0,0,0,5561
"G0200200","2010","4","9","Alaska","02","Anchorage Municipality","020",,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,"Anchorage Municipality",291826,0,0,0,0,291826
"G0200500","2010","4","9","Alaska","02","Bethel Census Area","050",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bethel Census Area",17013,0,0,0,0,17013
"G0200600","2010","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bristol Bay Borough",997,0,0,0,0,997
"G0200680","2010","4","9","Alaska","02","Denali Borough","068",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Denali Borough",1826,0,0,0,0,1826
"G0200700","2010","4","9","Alaska","02","Dillingham Census Area","070",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Dillingham Census Area",4847,0,0,0,0,4847
"G0200900","2010","4","9","Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,"21820","99999","999",,,,,,,,,,,,"Fairbanks North Star Borough",97581,0,0,0,0,97581
"G0201000","2010","4","9","Alaska","02","Haines Borough","100",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Haines Borough",2508,0,0,0,0,2508
"G0201050","2010","4","9","Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Hoonah-Angoon Census Area",2150,0,0,0,0,2150
"G0201100","2010","4","9","Alaska","02","Juneau City and Borough","110",,,,,,,,,,,"27940","99999","999",,,,,,,,,,,,"Juneau City and Borough",31275,0,0,0,0,31275
"G0201220","2010","4","9","Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Kenai Peninsula Borough",55400,0,0,0,0,55400
"G0201300","2010","4","9","Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,"28540","99999","999",,,,,,,,,,,,"Ketchikan Gateway Borough",13477,0,0,0,0,13477
"G0201500","2010","4","9","Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,"28980","99999","999",,,,,,,,,,,,"Kodiak Island Borough",13592,0,0,0,0,13592
"G0201640","2010","4","9","Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Lake and Peninsula Borough",1631,0,0,0,0,1631
"G0201700","2010","4","9","Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,"Matanuska-Susitna Borough",88995,0,0,0,0,88995
"G0201800","2010","4","9","Alaska","02","Nome Census Area","180",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Nome Census Area",9492,0,0,0,0,9492
"G0201850","2010","4","9","Alaska","02","North Slope Borough","185",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"North Slope Borough",9430,0,0,0,0,9430
"G0201880","2010","4","9","Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Northwest Arctic Borough",7523,0,0,0,0,7523
"G0201950","2010","4","9","Alaska","02","Petersburg Census Area","195",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Petersburg Census Area",3815,0,0,0,0,3815
"G0201980","2010","4","9","Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Prince of Wales-Hyder Census Area",5559,0,0,0,0,5559
"G0202200","2010","4","9","Alaska","02","Sitka City and Borough","220",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Sitka City and Borough",8881,0,0,0,0,8881
"G0202300","2010","4","9","Alaska","02","Skagway Municipality","230",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Skagway Municipality",968,0,0,0,0,968
"G0202400","2010","4","9","Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Southeast Fairbanks Census Area",7029,0,0,0,0,7029
"G0202610","2010","4","9","Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Valdez-Cordova Census Area",9636,0,0,0,0,9636
"G0202700","2010","4","9","Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Wade Hampton Census Area",7459,0,0,0,0,7459
"G0202750","2010","4","9","Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Wrangell City and Borough",2369,0,0,0,0,2369
"G0202820","2010","4","9","Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Yakutat City and Borough",662,0,0,0,0,662
"G0202900","2010","4","9","Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Yukon-Koyukuk Census Area",5588,0,0,0,0,5588
"G0400010","2010","4","8","Arizona","04","Apache County","001",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Apache County",71518,0,0,0,0,71518
"G0400030","2010","4","8","Arizona","04","Cochise County","003",,,,,,,,,,,"43420","99999","999",,,,,,,,,,,,"Cochise County",131346,0,0,0,0,131346
"G0400050","2010","4","8","Arizona","04","Coconino County","005",,,,,,,,,,,"22380","99999","999",,,,,,,,,,,,"Coconino County",134421,0,0,0,0,134421
"G0400070","2010","4","8","Arizona","04","Gila County","007",,,,,,,,,,,"37740","99999","999",,,,,,,,,,,,"Gila County",53597,0,0,0,0,53597
"G0400090","2010","4","8","Arizona","04","Graham County","009",,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,"Graham County",37220,0,0,0,0,37220
"G0400110","2010","4","8","Arizona","04","Greenlee County","011",,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,"Greenlee County",8437,0,0,0,0,8437
"G0400120","2010","4","8","Arizona","04","La Paz County","012",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"La Paz County",20489,0,0,0,0,20489
"G0400130","2010","4","8","Arizona","04","Maricopa County","013",,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,"Maricopa County",3817117,0,0,0,0,3817117
"G0400150","2010","4","8","Arizona","04","Mohave County","015",,,,,,,,,,,"29420","99999","999",,,,,,,,,,,,"Mohave County",200186,0,0,0,0,200186
"G0400170","2010","4","8","Arizona","04","Navajo County","017",,,,,,,,,,,"43320","99999","999",,,,,,,,,,,,"Navajo County",107449,0,0,0,0,107449
"G0400190","2010","4","8","Arizona","04","Pima County","019",,,,,,,,,,,"46060","99999","999",,,,,,,,,,,,"Pima County",980263,0,0,0,0,980263
"G0400210","2010","4","8","Arizona","04","Pinal County","021",,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,"Pinal County",375770,0,0,0,0,375770
"G0400230","2010","4","8","Arizona","04","Santa Cruz County","023",,,,,,,,,,,"35700","99999","999",,,,,,,,,,,,"Santa Cruz County",47420,0,0,0,0,47420
"G0400250","2010","4","8","Arizona","04","Yavapai County","025",,,,,,,,,,,"39140","99999","999",,,,,,,,,,,,"Yavapai County",211033,0,0,0,0,211033
"G0400270","2010","4","8","Arizona","04","Yuma County","027",,,,,,,,,,,"49740","99999","999",,,,,,,,,,,,"Yuma County",195751,0,0,0,0,195751
"G0500010","2010","3","7","Arkansas","05","Arkansas County","001",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Arkansas County",19019,0,0,0,0,19019
"G0500030","2010","3","7","Arkansas","05","Ashley County","003",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Ashley County",21853,0,0,0,0,21853
"G0500050","2010","3","7","Arkansas","05","Baxter County","005",,,,,,,,,,,"34260","99999","999",,,,,,,,,,,,"Baxter County",41513,0,0,0,0,41513
"G0500070","2010","3","7","Arkansas","05","Benton County","007",,,,,,,,,,,"22220","99999","999",,,,,,,,,,,,"Benton County",221339,0,0,0,0,221339
"G0500090","2010","3","7","Arkansas","05","Boone County","009",,,,,,,,,,,"25460","99999","999",,,,,,,,,,,,"Boone County",36903,0,0,0,0,36903
"G0500110","2010","3","7","Arkansas","05","Bradley County","011",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bradley County",11508,0,0,0,0,11508
"G0500130","2010","3","7","Arkansas","05","Calhoun County","013",,,,,,,,,,,"15780","99999","999",,,,,,,,,,,,"Calhoun County",5368,0,0,0,0,5368
"G0500150","2010","3","7","Arkansas","05","Carroll County","015",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Carroll County",27446,0,0,0,0,27446
"G0500170","2010","3","7","Arkansas","05","Chicot County","017",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Chicot County",11800,0,0,0,0,11800
"G0500190","2010","3","7","Arkansas","05","Clark County","019",,,,,,,,,,,"11660","99999","999",,,,,,,,,,,,"Clark County",22995,0,0,0,0,22995
"G0500210","2010","3","7","Arkansas","05","Clay County","021",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Clay County",16083,0,0,0,0,16083
"G0500230","2010","3","7","Arkansas","05","Cleburne County","023",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cleburne County",25970,0,0,0,0,25970
"G0500250","2010","3","7","Arkansas","05","Cleveland County","025",,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,"Cleveland County",8689,0,0,0,0,8689
"G0500270","2010","3","7","Arkansas","05","Columbia County","027",,,,,,,,,,,"31620","99999","999",,,,,,,,,,,,"Columbia County",24552,0,0,0,0,24552
"G0500290","2010","3","7","Arkansas","05","Conway County","029",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Conway County",21273,0,0,0,0,21273
"G0500310","2010","3","7","Arkansas","05","Craighead County","031",,,,,,,,,,,"27860","99999","308",,,,,,,,,,,,"Craighead County",96443,0,0,0,0,96443
"G0500330","2010","3","7","Arkansas","05","Crawford County","033",,,,,,,,,,,"22900","99999","999",,,,,,,,,,,,"Crawford County",61948,0,0,0,0,61948
"G0500350","2010","3","7","Arkansas","05","Crittenden County","035",,,,,,,,,,,"32820","99999","999",,,,,,,,,,,,"Crittenden County",50902,0,0,0,0,50902
"G0500370","2010","3","7","Arkansas","05","Cross County","037",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cross County",17870,0,0,0,0,17870
"G0500390","2010","3","7","Arkansas","05","Dallas County","039",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Dallas County",8116,0,0,0,0,8116
"G0500410","2010","3","7","Arkansas","05","Desha County","041",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Desha County",13008,0,0,0,0,13008
"G0500430","2010","3","7","Arkansas","05","Drew County","043",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Drew County",18509,0,0,0,0,18509
"G0500450","2010","3","7","Arkansas","05","Faulkner County","045",,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,"Faulkner County",113237,0,0,0,0,113237
"G0500470","2010","3","7","Arkansas","05","Franklin County","047",,,,,,,,,,,"22900","99999","999",,,,,,,,,,,,"Franklin County",18125,0,0,0,0,18125
"G0500490","2010","3","7","Arkansas","05","Fulton County","049",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Fulton County",12245,0,0,0,0,12245
"G0500510","2010","3","7","Arkansas","05","Garland County","051",,,,,,,,,,,"26300","99999","999",,,,,,,,,,,,"Garland County",96024,0,0,0,0,96024
"G0500530","2010","3","7","Arkansas","05","Grant County","053",,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,"Grant County",17853,0,0,0,0,17853
"G0500550","2010","3","7","Arkansas","05","Greene County","055",,,,,,,,,,,"37500","99999","308",,,,,,,,,,,,"Greene County",42090,0,0,0,0,42090
"G0500570","2010","3","7","Arkansas","05","Hempstead County","057",,,,,,,,,,,"26260","99999","999",,,,,,,,,,,,"Hempstead County",22609,0,0,0,0,22609
"G0500590","2010","3","7","Arkansas","05","Hot Spring County","059",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Hot Spring County",32923,0,0,0,0,32923
"G0500610","2010","3","7","Arkansas","05","Howard County","061",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Howard County",13789,0,0,0,0,13789
"G0500630","2010","3","7","Arkansas","05","Independence County","063",,,,,,,,,,,"12900","99999","999",,,,,,,,,,,,"Independence County",36647,0,0,0,0,36647
"G0500650","2010","3","7","Arkansas","05","Izard County","065",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Izard County",13696,0,0,0,0,13696
"G0500670","2010","3","7","Arkansas","05","Jackson County","067",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Jackson County",17997,0,0,0,0,17997
"G0500690","2010","3","7","Arkansas","05","Jefferson County","069",,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,"Jefferson County",77435,0,0,0,0,77435
"G0500710","2010","3","7","Arkansas","05","Johnson County","071",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Johnson County",25540,0,0,0,0,25540
"G0500730","2010","3","7","Arkansas","05","Lafayette County","073",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Lafayette County",7645,0,0,0,0,7645
"G0500750","2010","3","7","Arkansas","05","Lawrence County","075",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Lawrence County",17415,0,0,0,0,17415
"G0500770","2010","3","7","Arkansas","05","Lee County","077",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Lee County",10424,0,0,0,0,10424
"G0500790","2010","3","7","Arkansas","05","Lincoln County","079",,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,"Lincoln County",14134,0,0,0,0,14134
"G0500810","2010","3","7","Arkansas","05","Little River County","081",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Little River County",13171,0,0,0,0,13171
"G0500830","2010","3","7","Arkansas","05","Logan County","083",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Logan County",22353,0,0,0,0,22353
"G0500850","2010","3","7","Arkansas","05","Lonoke County","085",,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,"Lonoke County",68356,0,0,0,0,68356
"G0500870","2010","3","7","Arkansas","05","Madison County","087",,,,,,,,,,,"22220","99999","999",,,,,,,,,,,,"Madison County",15717,0,0,0,0,15717
"G0500890","2010","3","7","Arkansas","05","Marion County","089",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Marion County",16653,0,0,0,0,16653
"G0500910","2010","3","7","Arkansas","05","Miller County","091",,,,,,,,,,,"45500","99999","999",,,,,,,,,,,,"Miller County",43462,0,0,0,0,43462
"G0500930","2010","3","7","Arkansas","05","Mississippi County","093",,,,,,,,,,,"14180","99999","999",,,,,,,,,,,,"Mississippi County",46480,0,0,0,0,46480
"G0500950","2010","3","7","Arkansas","05","Monroe County","095",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Monroe County",8149,0,0,0,0,8149
"G0500970","2010","3","7","Arkansas","05","Montgomery County","097",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Montgomery County",9487,0,0,0,0,9487
"G0500990","2010","3","7","Arkansas","05","Nevada County","099",,,,,,,,,,,"26260","99999","999",,,,,,,,,,,,"Nevada County",8997,0,0,0,0,8997
"G0501010","2010","3","7","Arkansas","05","Newton County","101",,,,,,,,,,,"25460","99999","999",,,,,,,,,,,,"Newton County",8330,0,0,0,0,8330
"G0501030","2010","3","7","Arkansas","05","Ouachita County","103",,,,,,,,,,,"15780","99999","999",,,,,,,,,,,,"Ouachita County",26120,0,0,0,0,26120
"G0501050","2010","3","7","Arkansas","05","Perry County","105",,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,"Perry County",10445,0,0,0,0,10445
"G0501070","2010","3","7","Arkansas","05","Phillips County","107",,,,,,,,,,,"25760","99999","999",,,,,,,,,,,,"Phillips County",21757,0,0,0,0,21757
"G0501090","2010","3","7","Arkansas","05","Pike County","109",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Pike County",11291,0,0,0,0,11291
