ProvinceState,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
"Shelby County, TN",US,2020-03-08T16:13:36,1,0,0,35.1269,-89.9253
"Spartanburg County, SC",US,2020-03-09T00:03:07,1,0,0,34.8606,-81.9535
"Spokane County, WA",US,2020-03-08T21:53:04,1,0,0,47.6587,-117.4225
"St. Louis County, MO",US,2020-03-08T11:23:08,1,0,0,38.6103,-90.4125
"Suffolk County, NY",US,2020-03-08T16:03:05,1,0,0,40.9849,-72.6151
"Tulsa County, OK",US,2020-03-07T04:43:02,1,0,0,36.1593,-95.941
"Ulster County, NY",US,2020-03-08T16:23:07,1,0,0,41.8586,-74.3118
"Umatilla, OR",US,2020-03-02T20:23:16,1,0,0,45.775,-118.7606
"Unknown Location, MA",US,2020-03-08T21:23:03,1,0,0,42.4072,-71.3824
"Volusia County, FL",US,2020-03-08T03:03:08,1,0,0,29.028,-81.0755
"Wake County, NC",US,2020-03-03T20:53:02,1,0,0,35.8032,-78.5661
"Wayne County, PA",US,2020-03-06T16:13:15,1,0,0,41.6739,-75.2479
"Williamson County, TN",US,2020-03-05T23:33:03,1,0,0,35.9179,-86.8622
"Yolo County, CA",US,2020-03-06T20:13:14,1,0,0,38.7646,-121.9018
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
"Montgomery County, TX",US,2020-03-07T19:53:02,0,0,0,30.3213,-95.4778
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
